decade,n_storms,mean_peak_wind,median_peak_wind,mean_integrated,median_integrated,cat4_fraction,ri_fraction,total_ri_events,ri_per_storm,mean_max_24h_delta,mean_ace
1950,195,53.84615384615385,50.0,6265.307692307692,5445.0,44.61538461538462,69.74358974358974,561,2.876923076923077,22.902564102564103,46357.307692307695
1960,293,45.3481228668942,40.0,5285.631399317406,4389.0,30.716723549488055,62.79863481228669,651,2.2218430034129693,20.914675767918087,33225.08532423208
1970,258,40.50387596899225,35.0,4978.313953488372,4312.5,22.48062015503876,37.2093023255814,296,1.1472868217054264,16.468992248062015,26418.798449612405
1980,258,39.06976744186046,35.0,4838.279069767442,4129.5,18.217054263565892,21.705426356589147,146,0.5658914728682171,13.515503875968992,24564.422480620156
1990,261,35.96551724137931,35.0,4565.620689655172,3732.0,14.17624521072797,11.877394636015326,61,0.23371647509578544,11.272030651340996,22301.731800766283
2000,230,38.27391304347826,40.0,4929.913043478261,4434.0,15.217391304347828,23.47826086956522,142,0.6173913043478261,12.465217391304348,25009.930434782607
2010,242,38.37603305785124,35.0,4777.747933884298,3831.0,25.6198347107438,26.033057851239672,223,0.9214876033057852,12.400826446280991,24542.00826446281
2020,62,38.87983870967743,38.0,4991.430241935483,4497.0,22.58064516129032,37.096774193548384,77,1.2419354838709677,13.407258064516126,26291.757812499996
