basin,year,storm_name,peak_wind,duration_h,integrated_intensity,ace,ri_events,is_cat4plus,max_24h_delta,decade,n_timesteps
EP,1991,MARTY,36.0,264,5755.800000000001,20163.494375000002,0,False,12.875000000000004,1990,45
EP,1991,NORA,46.3,138,3811.6500000000005,18994.446875,3,False,18.0,1990,24
EP,1992,AGATHA,30.875,102,2260.95,8160.246875,1,False,15.45,1990,18
EP,1992,CELIA,64.3,294,10269.600000000002,71214.87499999999,5,True,20.574999999999996,1990,50
EP,1992,DARBY,54.025000000000006,180,5370.600000000001,30471.745625,4,True,18.0,1990,31
EP,1992,ESTELLE,61.725,198,6975.450000000001,49482.22625000001,5,True,28.275,1990,34
EP,1992,FRANK,64.3,252,9537.300000000001,69991.611875,0,True,12.875000000000004,1990,43
EP,1992,GEORGETTE,48.875,318,9644.550000000003,55123.73812500001,2,False,18.025000000000002,1990,54
EP,1992,HOWARD,28.299999999999997,108,2283.9,7490.425624999999,0,False,12.874999999999996,1990,19
EP,1992,INIKI,64.3,192,6443.025000000001,43568.729999999996,2,True,18.0,1990,33
EP,1992,ISIS,28.299999999999997,120,2530.7999999999993,8390.646249999998,0,False,10.3,1990,21
EP,1992,JAVIER,36.0,294,6234.150000000001,19858.999999999996,0,False,10.3,1990,50
EP,1992,KAY,23.15,108,1928.5499999999997,4174.273749999999,0,False,7.725000000000001,1990,19
EP,1992,LESTER,36.0,114,2615.7,10241.560625,0,False,12.850000000000001,1990,20
EP,1992,NEWTON,23.15,102,1959.5999999999997,5569.604374999999,0,False,5.150000000000002,1990,18
EP,1992,ORLENE,64.3,288,11165.025,85627.93625000001,7,True,23.150000000000002,1990,49
EP,1992,PAINE,33.45,132,3372.525,14766.285625000002,0,False,10.3,1990,23
EP,1992,ROSLYN,43.725,414,10487.175,45869.16874999999,2,False,15.45,1990,70
EP,1992,SEYMORE-SEYMOUR,38.575,234,5934.075000000003,25822.126249999998,0,False,12.850000000000001,1990,40
EP,1992,TINA,66.875,582,19221.300000000003,126213.646875,3,True,18.0,1990,98
EP,1992,VIRGIL,59.15,108,3310.3500000000004,21133.95,5,True,38.575,1990,19
EP,1992,WINIFRED,51.45,90,2746.9499999999994,15991.863125000002,5,True,20.574999999999996,1990,16
EP,1992,YOLANDA,28.299999999999997,162,3379.4999999999995,10686.711875,0,False,12.875000000000004,1990,28
EP,1992,ZEKE,23.15,126,2221.6499999999996,5270.58375,0,False,5.150000000000002,1990,22
EP,1993,ADRIAN,38.575,198,4366.800000000001,16175.463124999998,0,False,12.850000000000001,1990,34
EP,1993,CALVIN,48.875,108,3402.8999999999996,20033.653124999997,5,False,20.575,1990,19
EP,1993,DORA,59.15,150,5084.625,34975.95,6,True,28.300000000000004,1990,26
EP,1993,EUGENE,56.6,222,7724.325000000001,52303.19625000001,5,True,23.150000000000006,1990,38
EP,1993,FERNANDA,64.3,246,9961.725000000002,75544.610625,8,True,28.275,1990,42
EP,1993,GREG,59.15,330,12384.224999999999,85418.786875,6,True,23.15,1990,56
EP,1993,HILARY,54.025000000000006,240,7122.299999999999,40136.828125,0,True,12.875000000000007,1990,41
EP,1993,JOVA,59.15,186,6118.875000000001,38506.210625,4,True,25.699999999999996,1990,32
EP,1993,KENNETH,66.875,294,10209.0,69598.405,4,True,25.724999999999994,1990,50
EP,1993,LIDIA,66.875,138,5138.849999999999,37933.919375,6,True,30.875,1990,24
EP,1993,MAX,20.575,96,1643.025,3114.66125,0,False,5.149999999999999,1990,17
EP,1993,NORMA,23.15,90,1558.1999999999998,2566.50625,0,False,7.725000000000001,1990,16
EP,1994,ALETTA,23.15,120,2005.4999999999995,3750.42875,0,False,7.724999999999998,1990,21
EP,1994,CARLOTTA,46.3,168,4961.325000000001,27774.627499999995,4,False,20.575000000000003,1990,29
EP,1994,DANIEL,28.299999999999997,150,3534.2999999999997,13573.545625000002,0,False,12.874999999999996,1990,26
EP,1994,EMILIA,72.025,216,9714.675000000001,88124.84875,8,True,25.724999999999998,1990,37
EP,1994,FABIO,20.575,120,1773.7499999999995,1719.330625,0,False,5.150000000000002,1990,21
EP,1994,ILEANA,33.45,102,2284.0499999999997,8352.920625,0,False,12.875000000000004,1990,18
EP,1994,JOHN,72.025,234,6127.2,31907.116875,4,True,38.575,1990,40
EP,1994,LANE,59.15,180,5408.7750000000015,33590.208125,4,True,25.725,1990,31
EP,1994,MIRIAM,20.575,138,2244.5249999999996,3438.66125,0,False,2.5749999999999993,1990,24
EP,1994,OLIVIA,66.875,180,6211.650000000001,43635.29312500001,6,True,28.275,1990,31
EP,1994,PAUL,20.575,132,2105.7,3213.991875,0,False,5.150000000000002,1990,23
EP,1994,ROSA,46.3,156,3749.4,16433.5425,2,False,15.450000000000003,1990,27
EP,1995,ADOLPH,59.15,138,4436.849999999999,28265.679375,7,True,20.6,1990,24
EP,1995,BARBARA,61.725,246,10038.825,78947.346875,7,True,23.15,1990,42
EP,1995,COSME,33.45,120,2700.7499999999995,9683.23125,0,False,12.874999999999996,1990,21
EP,1995,DALILA,28.299999999999997,210,4034.9999999999995,11960.119375,0,False,10.299999999999997,1990,36
EP,1995,ERICK,28.299999999999997,150,2638.1999999999994,5068.506875,0,False,12.874999999999996,1990,26
EP,1995,FLOSSIE,36.0,156,3973.875,16906.889375,0,False,12.875,1990,27
EP,1995,GIL,28.299999999999997,162,3680.7749999999996,13757.144999999997,0,False,7.724999999999998,1990,28
EP,1995,HENRIETTE,43.725,168,4443.9,20988.791250000002,4,False,23.150000000000002,1990,29
EP,1995,JULIETTE,66.875,240,9390.975,70214.79437500001,5,True,25.72500000000001,1990,41
EP,1996,ALMA,46.3,174,4868.7750000000015,24857.7275,3,False,18.0,1990,30
EP,1996,BORIS,41.15,108,2252.7,7708.593125,4,False,23.15,1990,19
EP,1996,DOUGLAS,59.15,192,7230.15,52827.030000000006,2,True,18.000000000000004,1990,33
EP,1996,ELIDA,28.299999999999997,168,3039.4500000000003,6351.245625,0,False,7.725000000000001,1990,29
EP,1996,FAUSTO,54.025000000000006,114,3943.1250000000005,25534.050625000003,6,True,25.72500000000001,1990,20
EP,1996,GENEVIEVE,23.15,270,4497.375,8122.849374999999,0,False,7.724999999999998,1990,46
EP,1996,HERNAN,38.575,108,2584.875,10487.922500000002,2,False,15.450000000000003,1990,19
EP,1997,ANDRES,23.15,144,2638.3500000000004,6330.196249999998,0,False,5.149999999999999,1990,25
EP,1997,DOLORES,41.15,174,4722.000000000001,22128.871875,1,False,15.45,1990,30
EP,1997,ENRIQUE,51.45,108,3472.35,20841.816874999997,6,True,23.15,1990,19
EP,1997,FELICIA,59.15,192,6628.575,44544.46000000001,4,True,23.15,1990,33
