Training Period,Model,MAE (km),Median (km),Dir Acc,Dir F1,R² lon,R² lat
1950-1990,Reg LSTM,216.3,175.0,0.6083,0.4084,0.8000,0.6568
1950-1990,Reg CNN,149.8,123.8,0.6910,0.5442,0.9065,0.7819
1950-2000,Reg LSTM,218.1,176.2,0.6049,0.4097,0.7955,0.6555
1950-2000,Reg CNN,144.3,121.1,0.7051,0.5601,0.9110,0.8015
1950-2010,Reg LSTM,216.5,172.5,0.6073,0.4029,0.7986,0.6581
1950-2010,Reg CNN,141.5,117.3,0.7121,0.5493,0.9145,0.7988
1950-2016,Reg LSTM,215.9,172.7,0.6133,0.4112,0.7977,0.6618
1950-2016,Reg CNN,141.0,115.8,0.7116,0.5174,0.9148,0.8057
